Geo Point;Geo Shape;TYP
47.4343741065,9.378474086;"{""type"": ""Point"", ""coordinates"": [9.378474086001232, 47.43437410649624]}";Kandelaberleuchte
47.4228671981,9.36110045586;"{""type"": ""Point"", ""coordinates"": [9.361100455862562, 47.42286719805302]}";Kandelaberleuchte
47.4207832456,9.36101571403;"{""type"": ""Point"", ""coordinates"": [9.361015714025699, 47.42078324556983]}";Kandelaberleuchte
47.4220067067,9.34548048068;"{""type"": ""Point"", ""coordinates"": [9.345480480679104, 47.42200670674866]}";Kandelaberleuchte
47.4225586533,9.34721606912;"{""type"": ""Point"", ""coordinates"": [9.347216069115042, 47.42255865326355]}";Kandelaberleuchte
47.422492734,9.34815225821;"{""type"": ""Point"", ""coordinates"": [9.348152258205342, 47.4224927340349]}";Kandelaberleuchte
47.4224126974,9.34962352257;"{""type"": ""Point"", ""coordinates"": [9.349623522568509, 47.422412697360386]}";Kandelaberleuchte
47.4413648238,9.38631222611;"{""type"": ""Point"", ""coordinates"": [9.3863122261137, 47.441364823783715]}";Kandelaberleuchte
47.4386093098,9.40290070826;"{""type"": ""Point"", ""coordinates"": [9.402900708255425, 47.43860930979893]}";Kandelaberleuchte
47.4382543387,9.40163905822;"{""type"": ""Point"", ""coordinates"": [9.401639058217658, 47.43825433873241]}";Inselpfosten
47.4385368973,9.40139995742;"{""type"": ""Point"", ""coordinates"": [9.401399957418016, 47.43853689734933]}";Kandelaberleuchte
47.4354252797,9.37979175762;"{""type"": ""Point"", ""coordinates"": [9.379791757619696, 47.43542527966103]}";Kandelaberleuchte
47.4346786198,9.37844043522;"{""type"": ""Point"", ""coordinates"": [9.378440435222252, 47.43467861980477]}";Kandelaberleuchte
47.4368477844,9.37797742235;"{""type"": ""Point"", ""coordinates"": [9.377977422352785, 47.436847784382906]}";Kandelaberleuchte
47.4363114682,9.37716257108;"{""type"": ""Point"", ""coordinates"": [9.37716257108176, 47.43631146817009]}";Kandelaberleuchte
47.4243438099,9.38774660629;"{""type"": ""Point"", ""coordinates"": [9.387746606293584, 47.42434380992468]}";Kandelaberleuchte
47.4385371054,9.37992267398;"{""type"": ""Point"", ""coordinates"": [9.379922673978145, 47.438537105374934]}";Kandelaberleuchte
47.4395029086,9.38185604192;"{""type"": ""Point"", ""coordinates"": [9.381856041915798, 47.439502908614905]}";Kandelaberleuchte
47.4380671518,9.37926657668;"{""type"": ""Point"", ""coordinates"": [9.37926657668333, 47.438067151751504]}";Kandelaberleuchte
47.4399331373,9.37900869179;"{""type"": ""Point"", ""coordinates"": [9.37900869179421, 47.4399331372795]}";Kandelaberleuchte
47.4400276622,9.37864068821;"{""type"": ""Point"", ""coordinates"": [9.378640688213508, 47.44002766223263]}";Kandelaberleuchte
47.4115038106,9.36490230577;"{""type"": ""Point"", ""coordinates"": [9.364902305772802, 47.41150381059174]}";Kandelaberleuchte
47.4114115062,9.36450058662;"{""type"": ""Point"", ""coordinates"": [9.364500586618902, 47.411411506159986]}";Kandelaberleuchte
47.4116004706,9.36379961899;"{""type"": ""Point"", ""coordinates"": [9.363799618993744, 47.411600470647016]}";Kandelaberleuchte
47.4099470904,9.3654798244;"{""type"": ""Point"", ""coordinates"": [9.36547982440127, 47.409947090416345]}";Kandelaberleuchte
47.4063315234,9.31003684645;"{""type"": ""Point"", ""coordinates"": [9.310036846446575, 47.406331523361494]}";Kandelaberleuchte
47.4057887123,9.31284804347;"{""type"": ""Point"", ""coordinates"": [9.312848043473949, 47.405788712260296]}";Kandelaberleuchte
47.4395651951,9.40253940191;"{""type"": ""Point"", ""coordinates"": [9.402539401914028, 47.439565195070195]}";Kandelaberleuchte
47.4380594031,9.41037095499;"{""type"": ""Point"", ""coordinates"": [9.41037095498899, 47.438059403141644]}";Kandelaberleuchte
47.4385362374,9.40980237089;"{""type"": ""Point"", ""coordinates"": [9.409802370885235, 47.43853623741341]}";Kandelaberleuchte
47.4386839414,9.40821190693;"{""type"": ""Point"", ""coordinates"": [9.408211906925517, 47.43868394141475]}";Kandelaberleuchte
47.4368085141,9.40531866448;"{""type"": ""Point"", ""coordinates"": [9.40531866447864, 47.43680851405428]}";Kandelaberleuchte
47.436950647,9.4056258796;"{""type"": ""Point"", ""coordinates"": [9.40562587959754, 47.43695064704015]}";Kandelaberleuchte
47.4414026745,9.40804617675;"{""type"": ""Point"", ""coordinates"": [9.408046176749405, 47.44140267450507]}";Kandelaberleuchte
47.441845886,9.40735062624;"{""type"": ""Point"", ""coordinates"": [9.407350626242016, 47.441845886047226]}";Kandelaberleuchte
