Station;station/location;WIGOS-ID;Data since;Station height m. a. sea level;CoordinatesE;CoordinatesN;Latitude;Longitude;Climate region;Canton;URL Previous years (verified data);URL Current year
Zürich / Fluntern;SMA;0-20000-0-06660;01.01.1864;556;2685118;1248066;47.377925;8.565742;North-eastern plateau;ZH;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_SMA_previous.csv;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_SMA_current.csv
St. Gallen;STG;0-20000-0-06681;01.01.1864;776;2747866;1254588;47.425475;9.398528;North-eastern plateau;SG;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_STG_previous.csv;https://data.geo.admin.ch/ch.meteoschweiz.klima/nbcn-tageswerte/nbcn-daily_STG_current.csv
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;Delivery times;;;;;;;;;;;
;"nbcn-monthly_<nat_abbr>_previous.csv    Delivery once a year after checking the data (February 1st; 12:20 UTC)";;;;;;;;;;;
;nbcn-monthly_<nat_abbr>_current.csv     Delivery daily at 12:00 UTC;;;;;;;;;;;
